sno,name,description,cuisine,diet,prep_time (in mins),cook_time (in mins),instructions,image_url
1,Matar Paneer Kachori Korma - Green Peas And Paneer Kachori Curry ,Matar Paneer Kachori Korma Recipe is a Green Peas And Paneer Kachori Curry which has a unique taste.,North Indian Recipes,Vegetarian,50,30,"To begin making the Matar Paneer Kachori Korma Recipe, we will firstly make the dough for kachori.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anki.s19-gmail.com/Mutter_paneer_kachori_korma.jpg
2,Menthe / Fenugreek Seeds Tambli (Karnatakas),"Here's a bowlful of simple, healthy and comforting side dish, that's great to cool your body naturally.",Karnataka,Diabetic Friendly,15,15,"To begin making the Menthe/Fenugreek Seeds Tambli Recipe, heat ghee in a kadai or a heavy bottomed pan. Add methi seeds and dry red chillies to it. Roast them until methi seeds and red chilies turn brownish and aromatic. Once done transfer to a plate .In a mixer grinder, blend the methi seeds along with grated coconut, salt and little yogurt to make a smooth paste. You can add a little water to the mixture.Transfer the methe and coconut mixture to a serving bowl . Add the remaining yogurt and stir well. Add salt and check the taste.�The final step is to make the seasoning. Heat ghee in the small tadka pan over medium heat.Once hot add mustard seeds and allow it to crackle. When they splutter add curry leaves and turn off the heat. Pour this seasoning on the Menthe Tambli and give a gentle stir. The Menthe Tambli is ready to be served.Serve the�Menthe / Fenugreek Seeds Tambli as a side dish along with your main course meal for lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha_Kalluraya/Menthe_Fenugreek_Seeds_Tambli_Recipe_Karnataka_Recipes-1.jpg
3,Pistachio & Cranberry Broken Wheat Pilaf ,"Pistachio & Cranberry Broken Wheat Pulao Recipe is a delicious recipe of broken wheat combined with pistachios and cranberries, as the name suggests.�",Continental,Vegetarian,10,20,"To begin making the Pistachio & Cranberry Broken Wheat Pulao Recipe, heat a pressure cooker with olive oil on medium heat.�Once the oil is hot add the broken wheat and roast for about 3-4 minutes, stirring continuously.�To this, add the salt, pepper, mint leaves, cranberry and pistachios.�Mix well and pressure cook for two whistles. Turn off the flame and allow the pressure to release naturally.�Once the pressure has released, open the cooker, add in the lemon juice and mix the�Pistachio & Cranberry Broken Wheat Pulao until well combined.�Transfer the�Pistachio & Cranberry Broken Wheat Pulao to a serving bowl, garnish with pistachio and serve hot.�Serve�Pistachio & Cranberry Broken Wheat Pulao along with�Herbed Vegetables In Roasted Bell Pepper Sauce Recipe�or�French Onion Chicken Recipe�and a side of�Creamy Garlic Mashed Potatoes Recipe�and�Classic Greek salad Recipe�for a complete meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/pistachio_couscous_recipe_4_1600.jpg
4,Goan Bimbla Uddamethi,Bimbla Uddamethi or Bilimbi curry is a vegetarian Goan Curry prepared by cooking sour Bimba fruits in Coconut gravy.,Konkan,Vegetarian,10,10,"To begin making Goan Bimbla Uddamethi Recipe, wash Bimbla 3-4 times.�Cut them into very small cubes.In a heavy bottomed pan, bring a cup of water to a boil and add the chopped Bimbla. Let the bimbla sit in the boiling water until they soften.�Meanwhile, grind grated coconut along with red chili powder and turmeric powder using a spoon of water .Add the coconut paste in the boiled bimbla. Add jaggery to the pan as well.Add some water just to thin it out and allow this mixture to boil.While curry is boiling, prepare the tempering.In a pan heat oil on medium heat. Add Fenugreek seeds, Urad dal, mustard seeds and Curry leaves.�Cover and let the seeds crackle on low heat. Once the mustard seeds have crackled, add asafoetida and remove from heat.Pour this tempering over the boiling curry.Add salt as per your taste. Stir the mixture until everything combines.�Remove from heat and Bimbla Uddamethi is readyServe Bimbla Uddamethi with Steamed Rice and�Mixed Vegetables Ajethna Recipe (Mangalorean Style Mixed Vegetables Sabzi) for a complete meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/poojanadkarni/GOAN_BIMBLA_UDDAMETHIBILIMBI_CURRY_1600.jpg
5,Odisha Style Dal Tadka,The Odisha Style Dal Tadka Recipe is super simple to make and packed with flavours and taste.,Oriya Recipes,High Protein Vegetarian,480,45,"To begin making the�Odisha Style Dal Tadka Recipe, soak all the dals together in water in a single bowl for about 8 hours or overnight. The longer they soak, the faster they will cook.Prepare all the ingredients and keep them ready.Heat mustard oil in a pressure cooker, add cumin seeds and allow it to crackle. Add the onion, green chillies, ginger and garlic and saute until the onion turns soft and translucent.�Once the onions soften, add the tomatoes, bay leaf, garam masala, turmeric powder and saute until the tomatoes turn mushy.Stir in the salt, the soaked dal and enough water such that the level of water is at least 2 inches above the dal.Cover the cooker and pressure cook the dal on medium heat for 4 whistles. After 4 whistles, turn the heat to low and pressure cook for 30-40 minutes and then turn off the heat. Allow the pressure to release naturally.Once the pressure releases, open the cooker, check the salt and adjust to taste accordingly. Stir in the chopped coriander leaves to the�Odisha Style Dal Tadka.Transfer the�Odisha Style Dal Tadka�to a serving bowl and serve hot.Serve�Odisha Style Dal Tadka Recipe�along with�Ghee rice�and�Palak raita�for a simple and yet wholesome meal.",https://3.bp.blogspot.com/--voE2AfCZ3s/UnS58MYTWQI/AAAAAAAABqY/gpKvS8p0GNI/s320/DSC03091.JPG
6,Fennel Pesto Pull-Apart Bread,Fennel Pesto Pull-Apart Bread is a homemade fennel pesto layered bread recipe baked in the circular shape.,Continental,Vegetarian,20,55,"To begin making Fennel Pesto Pull-Apart Bread first make fennel pesto, dry roast the pine nuts in a skillet over low heat until brown spots appear on them. Roast the chopped fennel leaves and garlic for a minute or so.Transfer all the ingredients to a mixer along with olive oil, cheese, salt, pepper, zest, lemon juice and grind to a smooth paste. Transfer to a bowl or store up to 2 weeks in the fridge.To prepare the dough for the bread, dissolve the instant yeast in�lukewarm�water. In a mixing bowl, combine the dissolved yeast along with flour, milk powder, mashed potato and honey.Knead everything together to get a smooth dough by hand or using a stand mixer.Sprinkle the salt, olive oil and continue to knead. If you are using a stand mixer continue for about 7-10 minutes in low speed.Place the dough in a lightly greased bowl. Cling wrap the bowl and allow the dough to rise at room temperature till it is nearly doubled in size, around 1 hour. Lightly grease a�12-inch�round cake pan.Once the dough has doubled in volume, transfer the dough to a lightly greased platform and gently deflate the dough. Roll out the dough into a large rectangular shaped sheet.Spread the fennel pesto over the rolled out dough sheet. Now start rolling the dough sheet from one side to form a cylindrical shaped swiss roll like shape. �Place the rolls in the round cake pan, spacing them evenly with some gap allowing room for the dough to rise. Cover the pan with�Next cut even size circles from the round cylindrical roll. Arrange the rolls in the greased round cake pan, spacing them evenly with some gap in between allowing room for the dough to rise.Cover the pan with a lightly�greased plastic wrap, and allow the rolls to rise till they are double in size. This process will take near about 1 hour. While the rolls are rising, preheat the oven to 190�C.The rolls are ready to be baked. Give it an egg wash or milk wash and sprinkle sesame seeds.Bake the rolls until they��re a deep golden brown on top, and lighter on the sides, about 25 to 35 minutes.Remove the rolls from the oven, brush with olive oil and carefully transfer to wire rack. Brush with more pesto sauce just before serving.Serve Fennel Pesto Pull-Apart Bread warm for a dinner with�Tomato Corn Au Gratin.",https://www.archanaskitchen.com/images/archanaskitchen/World_Breads/Fennel_Pesto_Pull_Apart_Bread_Recipe.jpg
7,Shanghai Yang Chun Noodle (Flat Noodles In Soya Broth) ,Shanghai Yang Chun Noodle Recipe (Flat Noodles In Soya Broth Recipe) is a simple comforting breakfast meal consumed mainly in Shanghai province in China.,Chinese,Vegetarian,15,30,"We begin making the Shanghai Yang Chun Noodle Recipe (Flat Noodles In Soya Broth Recipe) by boiling the noodle in a sauce pan with water, add a pinch of salt, Once it starts boiling add the dried flat noodles and let it cook for 15 minutes.Cook the noodle till it is Al dante (half cooked), strain the noodles and make sure you keep the water in which the noodles was cooked.Show the noodles under cold water to stop the cooking, add a drizzle of oil and toss the noodle and place it on a flat plate to keep it separated.Use the water that was cooked for noodles as base to your broth, pour it into a sauce pan, add soy, chili sauce, honey, lemon grass and all the vegetable and simmer it for 25 minutes till all the vegetables are cooked.Check for seasoning by adding salt and pepper, Once that is done you can add in the cooked noodle and simmer for another 2 minutes.Serve the Shanghai Yang Chun Noodle Recipe (Flat Noodles In Soya Broth Recipe) for a�lunch meal�or as a�healthy breakfast.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Shanghai_Yang_Chun_Noodle_Recipe_Flat_Noodles_In_Soya_Broth_Recipe_.jpg
8,Chettinad Keerai Mandi With Amaranth Greens,Chettinad cuisine is usually associated with its aromatic and spicy recipes.,Chettinad,High Protein Vegetarian,10,20,"To begin making Chettinad Keerai Mandi Recipe, clean, wash and finely chop the amaranth leaves or any greens of your choice and keep aside.Collect one cup of mandi water by washing the raw rice and keep aside.Heat oil in a pan on medium flame, add the mustard seeds, urad dal and let it crackle.Add the dried red chillies and let it splutter.Add the shallots, green chilly and saute until the onions turn translucent.Add the amaranth greens, season with salt and saute until the greens wilts.Add the mandi water and simmer for 2 minutes.Now, add the coconut milk, bring it to a rolling boil and switch off the flame.Serve the Chettinad Keerai Mandi Recipe along with Steamed Rice, Paruppu Urundai Kuzhambu and Beans Poriyal to make it a complete Chettinad style lunch over the weekend.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Chettinad_Keerai_Mandi_Recipe_Chettinad_Style_Amaranth_Greens_Stew.jpg
9,Whole Wheat Naan,The Whole Wheat Naan Recipe is a simple and quick recipe and all you need is a whole wheat flour and yeast.,North Indian Recipes,Diabetic Friendly,140,30,"To begin making the Whole Wheat Naan Recipe, in a large mixing bowl, combine the flour, sugar, salt and yeast. Add yogurt and a little lukewarm water at a time and knead to make a smooth dough. Knead well for at least 4 to 5 minutes so the dough gets a good texture once it gets cooked.Cover the dough and allow it to rest in a warm place for at least 2 hours until it doubles in size.Once the dough has doubled in size, punch the dough down and knead for a couple of more minutes. Make 6 to 8 portions of this dough and allow this to rest for another 10 minutes. The portions of dough will rise again a bit.Dust flour on a working surface and roll them into ovals or circles and take care not to roll them too thin.Heat a skillet on medium heat, place the rolled whole wheat naan over the heated skillet and cook on both sides. You will notice brown spots come on the top and the naans will puff up with air pockets.�If you have a gas flame, you can optionally cook it directly over the flame once it is partially done on the skillet.Once done, remove from skillet, smear some butter and serve warm.Serve the healthy and delicious Whole Wheat Naan along with your�Paneer Butter Masala�or�Kadai Paneer�along with a salad and raita for a weeknight dinner or for parties.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breads/Whole_Wheat_Naan_Recipe-1.jpg
10,Bhugi Dal Paratha - Moong Dal Paratha,"Bhugi Dal Paratha Recipe (Dal Jo Phulko) or Moong Dal Paratha, is a healthy paratha that is stuffed with protein rich yellow moong dal, with mild spices.",Sindhi,Vegetarian,15,15,"To begin making Bhugi Dal Paratha Recipe - Moong Dal Paratha, wash and soak the dal for 30 minutes.In a pan, add the washed and soaked dal, with salt, haldi and one cup of water (use the water that the dal was soaked in)Boil this dal in the open pan on medium flame for 10-12 minutes. Touch the grains of the dal to check if they are cooked and soft yet whole and not mushy.Turn off the flame. Drain the water.�Transfer to a bowl, combine the boiled dal, red chilli powder, cumin powder and salt and mix well and set aside.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Bhugi_Dal_Paratha_Recipe__Dal_Jo_Phulko.jpg
