sno,name,description,cuisine,diet,prep_time (in mins),cook_time (in mins),instructions,image_url
1,Chicken Biryani,"A classic and beloved Pakistani dish that epitomizes the rich and aromatic flavors of Indian cuisine. This one-pot wonder combines succulent pieces of chicken, fragrant basmati rice, and a blend of aromatic spices, creating a dish that is deeply satisfying.",Pakistani,Gluten Free,30,60,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://glutenfreeindian.com/wp-content/uploads/2020/01/Copy-of-Untitled-1.jpg
2,Green Peas And Paneer Kachori Curry,"The Matar Paneer Kachoris are deep-fried pastries filled with a delectable mixture of green peas and paneer, providing a crunchy texture on the outside and a burst of flavors within. The korma curry, on the other hand, is a creamy and spiced gravy that envelops the kachoris.",North Indian,Vegetarian,50,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anki.s19-gmail.com/Mutter_paneer_kachori_korma.jpg
3,Fenugreek Seeds Tambli,"A bowlful of simplicity, health, and comfort, this side dish is a culinary oasis designed to naturally soothe and cool your body.",Karnataka,Diabetic Friendly,15,15,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha_Kalluraya/Menthe_Fenugreek_Seeds_Tambli_Recipe_Karnataka_Recipes-1.jpg
4,Pistachio & Cranberry Broken Wheat Pilaf,"A delightful and flavorful dish that brings together the nutty richness of pistachios, the sweet-tartness of cranberries, and the wholesome goodness of broken wheat. This recipe offers a unique and nutritious twist to the classic pulao.",Continental,Vegetarian,10,20,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/pistachio_couscous_recipe_4_1600.jpg
5,Fennel Pesto Pull-Apart Bread,Fennel Pesto Pull-Apart Bread is a delightful homemade creation featuring layers of fennel pesto spread between segments of a circular-shaped bread.,Continental,Vegetarian,20,55,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://i0.wp.com/nourishedendeavors.com/wp-content/uploads/2022/10/cheese-stuffed-garlic-pull-apart-bread-nourished-endeavors-08.jpg?w=780&ssl=1
6,Shanghai Yang Chun Noodle,Shanghai Yang Chun Noodle Recipe (Flat Noodles In Soya Broth Recipe) is a simple comforting breakfast meal consumed mainly in Shanghai province in China.,Chinese,Vegetarian,15,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://omnivorescookbook.com/wp-content/uploads/2020/08/200730_Soy-Sauce-Noodles_1.jpg
7,Keerai Mandi with Amaranth Leaves,"Keerai Mandi is not only delicious but also a nutritious way to incorporate leafy greens into your diet. It is often served with steamed rice, and the combination of the tangy broth and tender greens makes it a comforting meal.",Chettinad,High Protein Vegetarian,10,20,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Chettinad_Keerai_Mandi_Recipe_Chettinad_Style_Amaranth_Greens_Stew.jpg
8,Whole Wheat Naan,"The Whole Wheat Naan Recipe is a straightforward and efficient method for preparing naan. Whole wheat flour adds a nutty flavor and nutritional benefits to the naan, while yeast contributes to the leavening, resulting in a soft and fluffy texture.",Mughlai,Diabetic Friendly,140,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breads/Whole_Wheat_Naan_Recipe-1.jpg
9,Moong Dal Paratha,"Moong Dal Paratha, is a healthy paratha that is stuffed with protein rich yellow moong dal, and with mild spices.",Sindhi,Vegetarian,15,15,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Bhugi_Dal_Paratha_Recipe__Dal_Jo_Phulko.jpg
10,Chicken With Mushroom Sauce,Chicken with Mushroom Sauce is a delightful dish that features tender chicken pieces served with a rich and savory mushroom-based sauce. ,Continental,Non Vegeterian,10,15,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://myfoodstory.com/wp-content/uploads/2021/02/Instant-Pot-Chicken-in-Mushroom-Sauce-3.jpg
