Ing_ID,Ingredients_name
1, Pasta  Fusilli
2, Carrot (Gajjar)
3, Onion
4, Red Yellow and Green Bell Peppers (Capsicum)
5, Tomato
6, Potato (Aloo)
7, Cauliflower (gobi)
8, Green peas (Matar)
9, Chaat Masala Powder
10, Butter (Salted)
11, Pav bhaji masala
12, Red Chilli powder
13, Turmeric powder (Haldi)
14, Lemon juice
15, Red Chilli sauce
16, Salt
17, Cheese
18, Coriander (Dhania) Leaves
19,Cooked rice
20, Rajma (Large Kidney Beans)
21, Sweet corn
22, Green Bell Pepper (Capsicum)
23, Garlic
24, Tomato Ketchup
25, Vinegar
26, Cayenne Pepper
27,Tinda (Apple Gourd)
28, Tomatoes
29, Dry Red Chillies
30, Cumin seeds (Jeera)
31, Red Chilli flakes
32, Green Chilli
33, Oil
34,Instant Oats (Oatmeal)
35, Coconut milk
36, Honey
37, Curd (Dahi / Yogurt)
38, Raw Banana
39, Apple
40, Prunes
41, Pistachios
42, Vellai Poosanikai (Ash gourd/White Pumpkin)
43, Fresh coconut
44, Tamarind Water
45, Methi Seeds (Fenugreek Seeds)
46, Coriander (Dhania) Seeds
47, Sesame seeds (Til seeds)
48, Jaggery
49, Mustard seeds (Rai/ Kadugu)
50, Curry leaves
51,Bhindi (Lady Finger/Okra)
52, Ajwain (Carom seeds)
53, Roasted Peanuts (Moongphali)
54, Coriander Powder (Dhania)
55, Amchur (Dry Mango Powder)
56, Tamarind
57, Green zucchini
58, Red onion
59, Spinach Leaves (Palak)
60, Italian seasoning
61, Extra Virgin Olive Oil
62, Vegetable stock
63, Black beans
64,Mooli/ Mullangi (Radish)
65, Yellow Moong Dal (Split)
66, Green Chillies
67, Ginger
68, Ghee
69, Asafoetida (hing)
70, Lemon wedges
71,Bimbla (Bilimbi)
72, White Urad Dal (Split)
73,Feta Cheese
74, Basil leaves
75, Rosemary
76, Dried oregano
77, Salt and Pepper
78,Star fruit
79, Shrimps
80, Dry Red Chilli
81, Sugar
82, Mustard oil
83,All Purpose Flour (Maida)
84, Water
85, Black pepper powder
86, Mixed Herbs (Dried)
87, Britannia Cheese Block
88,Potatoes (Aloo)
89, Green beans (French Beans)
90, Cumin powder (Jeera)
91, Garam masala powder
92,Kaddu (Parangikai/ Pumpkin)
93,Curd (Dahi / Yogurt)
94, Whole Black Pepper Corns
95, Coconut Oil
96,Baby Potatoes
97, Tamarind Paste
98, Whole Black Peppercorns
99, Cinnamon Stick (Dalchini)
100, Cardamom (Elaichi) Pods/Seeds
101, Cloves (Laung)
102,Broccoli
103, Rice flour
104, Gram flour (besan)
105, Baking soda
106,Mango (Raw)
107, Kaddu (Parangikai/ Pumpkin)
108, Fennel seeds (Saunf)
109,Chana dal (Bengal Gram Dal)
110, Bay leaf (tej patta)
111, Homemade tomato puree
112, Mint Leaves (Pudina)
113,Green Bell Pepper (Capsicum)
114, Ginger Garlic Paste
115, Kasuri Methi (Dried Fenugreek Leaves)
116, Raw Peanuts (Moongphali)
117,Horse Gram Dal (Kollu/ Kulith)
118, Celery
119, Pickled Jalapenos
120,Rice
121, Cashew nuts
122,Phulka
123, Button mushrooms
124, Green bell peppers
125, Mexican seasoning
126,Foxtail Millet
127,Sweet Potatoes
128, Thai Red chilli (Birds Eye Chilli)
129,Spinach Leaves (Palak)
130, Arhar dal (Split Toor Dal)
131,Cauliflower (gobi)
132, Paprika powder
133, Quinoa
134, Hung Curd (Greek Yogurt)
135, Fresh Pomegranate Fruit Kernels
136,Sooji (Semolina/ Rava)
137, Cucumbers
138, Pearl onions (Sambar Onions)
139, Beetroot
140, Sambar Powder
141, Cardamom Powder (Elaichi)
142,Black Eyed Beans (Lobia)
143, Elephant yam (Suran/Senai/Ratalu)
144, Milk
145, Whole Egg
146,Karela (Bitter Gourd/ Pavakkai)
147, Caster Sugar
148, Dessicated Coconut
149,Milk
150, Thin Semiya (Seviyan)
151, Gulkand
152, Saffron strands
153, Rose water
154, Dried rose petals
155,Green zucchini
156, Carrots (Gajjar)
157, Red Bell pepper (Capsicum)
158, Lemon Grass
159, Kaffir lime leaves
160, Soy sauce
161, Thai Red Curry Paste
162, Lemon
163, Sesame (Gingelly) Oil
164,Pineapple
165, Dried Yellow/White Peas (Vatana)
